time_s,locked_position_m,locked_speed_mps,locked_slip,abs_position_m,abs_speed_mps,abs_slip,abs_estimated_mu
0.000000,0.000000,30.000000,0.000000,0.000000,30.000000,0.000000,0.800000
0.020000,0.598882,29.888164,0.045120,0.598799,29.879863,0.064800,0.810800
0.040000,1.195345,29.758209,0.088074,1.195020,29.742231,0.106272,0.819656
0.060000,1.789038,29.611005,0.128967,1.788376,29.593404,0.132814,0.826918
0.080000,2.379621,29.447379,0.167896,2.378684,29.437411,0.149801,0.832873
0.100000,2.966918,29.282241,0.204957,2.965826,29.276832,0.160673,0.837756
0.120000,3.550962,29.122186,0.240239,3.549728,29.113317,0.167630,0.841760
0.140000,4.131853,28.966969,0.273828,4.130340,28.947925,0.172084,0.845043
0.160000,4.709687,28.816358,0.305804,4.707633,28.781330,0.174933,0.847735
0.180000,5.284552,28.670131,0.336245,5.281586,28.613966,0.176757,0.849943
0.200000,5.856534,28.528079,0.365226,5.852187,28.446109,0.177925,0.851753
0.220000,6.425714,28.390001,0.392815,6.419427,28.277938,0.178672,0.853238
0.240000,6.992172,28.255706,0.419080,6.983302,28.109564,0.179150,0.854455
0.260000,7.555979,28.125012,0.444084,7.543808,27.941062,0.179456,0.855453
0.280000,8.117206,27.997748,0.467888,8.100944,27.772476,0.179652,0.856271
0.300000,8.675921,27.873747,0.490549,8.654707,27.603838,0.179777,0.856943
0.320000,9.232187,27.752854,0.512123,9.205097,27.435167,0.179857,0.857493
0.340000,9.786065,27.634919,0.532661,9.752113,27.266473,0.179909,0.857944
0.360000,10.337612,27.519800,0.552213,10.295756,27.097766,0.179942,0.858314
0.380000,10.886884,27.407363,0.570827,10.836024,26.929050,0.179963,0.858618
0.400000,11.433932,27.297478,0.588547,11.372918,26.760328,0.179976,0.858866
0.420000,11.978807,27.190023,0.605417,11.906437,26.591602,0.179985,0.859071
0.440000,12.521556,27.084881,0.621477,12.436582,26.422874,0.179990,0.859238
0.460000,13.062225,26.981941,0.636766,12.963352,26.254145,0.179994,0.859375
0.480000,13.600855,26.881098,0.651321,13.486748,26.085415,0.179996,0.859488
0.500000,14.137488,26.782251,0.665178,14.006769,25.916684,0.179997,0.859580
0.520000,14.672164,26.685304,0.678369,14.523415,25.747952,0.179998,0.859655
0.540000,15.204919,26.590166,0.690928,15.036687,25.579221,0.179999,0.859717
0.560000,15.735788,26.496750,0.702883,15.546584,25.410489,0.179999,0.859768
0.580000,16.264805,26.404973,0.714265,16.053106,25.241757,0.180000,0.859810
0.600000,16.792002,26.314757,0.725100,16.556254,25.073025,0.180000,0.859844
0.620000,17.317410,26.226026,0.735415,17.056027,24.904293,0.180000,0.859872
0.640000,17.841058,26.138711,0.745235,17.552426,24.735562,0.180000,0.859895
0.660000,18.362972,26.052741,0.754584,18.045450,24.566830,0.180000,0.859914
0.680000,18.883534,26.003505,0.763484,18.535816,24.469815,0.192960,0.795130
0.700000,19.403119,25.954977,0.771957,19.024238,24.372409,0.188294,0.742006
0.720000,19.921740,25.907126,0.780023,19.510710,24.274754,0.185308,0.698445
0.740000,20.439411,25.859917,0.787702,19.995227,24.176939,0.183397,0.662725
0.760000,20.956143,25.813321,0.795012,20.477787,24.079021,0.182174,0.633434
0.780000,21.471949,25.767307,0.801971,20.958387,23.981037,0.181392,0.609416
0.800000,21.986841,25.721848,0.808597,21.437028,23.883012,0.180891,0.589721
0.820000,22.500829,25.676917,0.814904,21.913707,23.784959,0.180570,0.573572
0.840000,23.013923,25.632490,0.820909,22.388426,23.686890,0.180365,0.560329
0.860000,23.526133,25.588540,0.826625,22.861183,23.588810,0.180233,0.549469
0.880000,24.037469,25.545047,0.832067,23.331978,23.490722,0.180149,0.540565
0.900000,24.547939,25.501988,0.837248,23.800812,23.392630,0.180096,0.533263
0.920000,25.057553,25.459341,0.842180,24.267683,23.294535,0.180061,0.527276
0.940000,25.566317,25.417088,0.846875,24.732593,23.196438,0.180039,0.522366
0.960000,26.074240,25.375209,0.851345,25.195541,23.098341,0.180025,0.518340
0.980000,26.581329,25.333686,0.855601,25.656527,23.000242,0.180016,0.515039
1.000000,27.087590,25.292484,0.859652,26.115550,22.902143,0.180010,0.512332
1.020000,27.593028,25.251282,0.863509,26.572612,22.804043,0.180007,0.510112
1.040000,28.097642,25.210080,0.867180,27.027712,22.705944,0.180004,0.508292
1.060000,28.601431,25.168878,0.870676,27.480850,22.607844,0.180003,0.506799
1.080000,29.104397,25.127676,0.874003,27.932026,22.509744,0.180002,0.505576
1.100000,29.606538,25.086474,0.877171,28.381240,22.411644,0.180001,0.504572
1.120000,30.107856,25.045272,0.880187,28.828492,22.313544,0.180001,0.503749
1.140000,30.608349,25.004070,0.883058,29.273782,22.215444,0.180000,0.503074
1.160000,31.108019,24.962868,0.885791,29.717109,22.117344,0.180000,0.502521
1.180000,31.606864,24.921666,0.888393,30.158475,22.019244,0.180000,0.502067
1.200000,32.104885,24.880464,0.890870,30.597879,21.921144,0.180000,0.501695
1.220000,32.602083,24.839262,0.893228,31.035321,21.823044,0.180000,0.501390
1.240000,33.098456,24.798060,0.895473,31.470801,21.724944,0.180000,0.501140
1.260000,33.594005,24.756858,0.897611,31.904319,21.626844,0.180000,0.500935
1.280000,34.088730,24.715656,0.899645,32.335875,21.528744,0.180000,0.500766
1.300000,34.582631,24.674454,0.901582,32.765469,21.430644,0.180000,0.500628
1.320000,35.075708,24.633252,0.903427,33.193101,21.332544,0.180000,0.500515
1.340000,35.567961,24.592050,0.905182,33.618770,21.234444,0.180000,0.500423
1.360000,36.059390,24.550848,0.906853,34.042478,21.136344,0.180000,0.500346
1.380000,36.549995,24.509646,0.908444,34.464224,21.038244,0.180000,0.500284
1.400000,37.039776,24.468444,0.909959,34.884008,20.940144,0.180000,0.500233
1.420000,37.528733,24.427242,0.911401,35.301830,20.842044,0.180000,0.500191
1.440000,38.016866,24.386040,0.912774,35.717690,20.743944,0.180000,0.500157
1.460000,38.504175,24.344838,0.914081,36.131588,20.645844,0.180000,0.500128
1.480000,38.990659,24.303636,0.915325,36.543524,20.547744,0.180000,0.500105
1.500000,39.476320,24.262434,0.916509,36.953498,20.449644,0.180000,0.500086
1.520000,39.961157,24.221232,0.917637,37.361509,20.351544,0.180000,0.500071
1.540000,40.445169,24.180030,0.918710,37.767559,20.253444,0.180000,0.500058
1.560000,40.928358,24.138828,0.919732,38.171647,20.155344,0.180000,0.500048
1.580000,41.410723,24.097626,0.920705,38.573773,20.057244,0.180000,0.500039
1.600000,41.892263,24.056424,0.921631,38.973937,19.959144,0.180000,0.500032
1.620000,42.372980,24.015222,0.922513,39.372139,19.861044,0.180000,0.500026
1.640000,42.852872,23.974020,0.923352,39.768379,19.762944,0.180000,0.500022
1.660000,43.331940,23.932818,0.924151,40.162657,19.664844,0.180000,0.500018
1.680000,43.810185,23.891616,0.924912,40.554973,19.566744,0.180000,0.500014
1.700000,44.287605,23.850414,0.925636,40.945326,19.468644,0.180000,0.500012
1.720000,44.764201,23.809212,0.926326,41.333718,19.370544,0.180000,0.500010
1.740000,45.239974,23.768010,0.926982,41.720148,19.272444,0.180000,0.500008
1.760000,45.714922,23.726808,0.927607,42.104616,19.174344,0.180000,0.500007
1.780000,46.189046,23.685606,0.928202,42.487122,19.076244,0.180000,0.500005
1.800000,46.662346,23.644404,0.928768,42.867666,18.978144,0.180000,0.500004
1.820000,47.134822,23.603202,0.929307,43.246248,18.880044,0.180000,0.500004
1.840000,47.606474,23.562000,0.929820,43.622868,18.781944,0.180000,0.500003
1.860000,48.077302,23.520798,0.930309,43.997526,18.683844,0.180000,0.500002
1.880000,48.547306,23.479596,0.930774,44.370221,18.585744,0.180000,0.500002
1.900000,49.016486,23.438394,0.931217,44.740955,18.487644,0.180000,0.500002
1.920000,49.484842,23.397192,0.931639,45.109727,18.389544,0.180000,0.500001
1.940000,49.952374,23.355990,0.932040,45.476537,18.291444,0.180000,0.500001
1.960000,50.419081,23.314788,0.932422,45.841385,18.193344,0.180000,0.500001
1.980000,50.884965,23.273586,0.932786,46.204271,18.095244,0.180000,0.500001
2.000000,51.350025,23.232384,0.933132,46.565195,17.997144,0.180000,0.500001
2.020000,51.814261,23.191182,0.933462,46.924157,17.899044,0.180000,0.500000
2.040000,52.277672,23.149980,0.933776,47.281156,17.800944,0.180000,0.500000
2.060000,52.740260,23.108778,0.934074,47.636194,17.702844,0.180000,0.500000
2.080000,53.202023,23.067576,0.934359,47.989270,17.604744,0.180000,0.500000
2.100000,53.662963,23.026374,0.934630,48.340384,17.506644,0.180000,0.500000
2.120000,54.123078,22.985172,0.934887,48.689536,17.408544,0.180000,0.500000
2.140000,54.582370,22.943970,0.935133,49.036726,17.310444,0.180000,0.500000
2.160000,55.040837,22.902768,0.935366,49.381954,17.212344,0.180000,0.500000
2.180000,55.498711,22.884640,0.935589,49.725220,17.114244,0.180000,0.500000
2.200000,55.956223,22.866511,0.935801,50.066524,17.016144,0.180000,0.500000
2.220000,56.413372,22.848382,0.936002,50.405865,16.918044,0.180000,0.500000
2.240000,56.870158,22.830253,0.936194,50.743245,16.819944,0.180000,0.500000
2.260000,57.326582,22.812124,0.936377,51.078663,16.721844,0.180000,0.500000
2.280000,57.782643,22.793995,0.936551,51.412119,16.623744,0.180000,0.500000
2.300000,58.238342,22.775866,0.936716,51.743613,16.525644,0.180000,0.500000
2.320000,58.693678,22.757737,0.936874,52.073145,16.427544,0.180000,0.500000
2.340000,59.148651,22.739609,0.937024,52.400715,16.329444,0.180000,0.500000
2.360000,59.603262,22.721480,0.937167,52.726323,16.231344,0.180000,0.500000
2.380000,60.057510,22.703351,0.937303,53.049969,16.133244,0.180000,0.500000
2.400000,60.511396,22.685222,0.937432,53.371652,16.035144,0.180000,0.500000
2.420000,60.964919,22.667093,0.937555,53.691374,15.937044,0.180000,0.500000
2.440000,61.418080,22.648964,0.937673,54.009134,15.838944,0.180000,0.500000
2.460000,61.870878,22.630835,0.937784,54.324932,15.740844,0.180000,0.500000
2.480000,62.323313,22.612706,0.937891,54.638768,15.642744,0.180000,0.500000
2.500000,62.775386,22.594577,0.937992,54.950642,15.544644,0.180000,0.500000
2.520000,63.227096,22.576449,0.938088,55.260554,15.446544,0.180000,0.500000
2.540000,63.678444,22.558320,0.938180,55.569057,15.403752,0.190080,0.449600
2.560000,64.129429,22.540191,0.938268,55.876702,15.360825,0.186445,0.408272
2.580000,64.580051,22.522062,0.938351,56.183489,15.317791,0.183524,0.374383
2.600000,65.030311,22.503933,0.938430,56.489413,15.274670,0.181167,0.346594
2.620000,65.480209,22.485804,0.938505,56.794476,15.231586,0.179258,0.323807
2.640000,65.929744,22.467675,0.938577,57.098678,15.188670,0.177708,0.305122
2.660000,66.378916,22.449546,0.938645,57.402024,15.145889,0.176447,0.289800
2.680000,66.827725,22.431418,0.938710,57.704515,15.103219,0.175419,0.277236
2.700000,67.276173,22.413289,0.938772,58.006154,15.060640,0.174580,0.266933
2.720000,67.724257,22.395160,0.938831,58.306941,15.018135,0.173895,0.258485
2.740000,68.171979,22.377031,0.938887,58.606880,14.975690,0.173335,0.251558
2.760000,68.619338,22.358902,0.938941,58.905970,14.933295,0.172877,0.245878
2.780000,69.066335,22.340773,0.938992,59.204212,14.890940,0.172502,0.241220
2.800000,69.512969,22.322644,0.939040,59.501607,14.848618,0.172195,0.237400
2.820000,69.959241,22.304515,0.939086,59.798157,14.806324,0.171943,0.234268
2.840000,70.405150,22.286387,0.939130,60.093861,14.764051,0.171737,0.231700
2.860000,70.850696,22.268258,0.939172,60.388719,14.721797,0.171568,0.229594
2.880000,71.295880,22.250129,0.939211,60.682733,14.679558,0.171430,0.227867
2.900000,71.740701,22.232000,0.939249,60.975902,14.637331,0.171316,0.226451
2.920000,72.185160,22.213871,0.939285,61.268226,14.595114,0.171223,0.225290
2.940000,72.629256,22.195742,0.939320,61.559706,14.552905,0.171147,0.224338
2.960000,73.072990,22.177613,0.939352,61.850342,14.510703,0.171085,0.223557
2.980000,73.516361,22.159484,0.939383,62.140134,14.468507,0.171033,0.222917
3.000000,73.959369,22.141355,0.939413,62.429083,14.426315,0.170991,0.222392
3.020000,74.402015,22.123227,0.939441,62.717187,14.384127,0.170957,0.221961
3.040000,74.844298,22.105098,0.939468,63.004448,14.341942,0.170929,0.221608
3.060000,75.286219,22.086969,0.939493,63.290865,14.299759,0.170906,0.221319
3.080000,75.727777,22.068840,0.939518,63.576438,14.257579,0.170887,0.221081
3.100000,76.168972,22.050711,0.939541,63.861168,14.215400,0.170871,0.220887
3.120000,76.609805,22.032582,0.939563,64.145054,14.173222,0.170858,0.220727
3.140000,77.050276,22.014453,0.939584,64.428097,14.131046,0.170848,0.220596
3.160000,77.490384,21.996324,0.939604,64.710296,14.088870,0.170839,0.220489
3.180000,77.930129,21.978196,0.939623,64.991652,14.046696,0.170832,0.220401
3.200000,78.369511,21.960067,0.939641,65.272164,14.004522,0.170826,0.220329
3.220000,78.808531,21.941938,0.939658,65.551832,13.962348,0.170822,0.220270
3.240000,79.247189,21.923809,0.939675,65.830658,13.920175,0.170818,0.220221
3.260000,79.685484,21.905680,0.939690,66.108639,13.878002,0.170814,0.220181
3.280000,80.123416,21.887551,0.939705,66.385778,13.835830,0.170812,0.220149
3.300000,80.560986,21.869422,0.939719,66.662073,13.793657,0.170810,0.220122
3.320000,80.998193,21.851293,0.939733,66.937524,13.751485,0.170808,0.220100
3.340000,81.435038,21.833165,0.939746,67.212132,13.709313,0.170807,0.220082
3.360000,81.871520,21.815036,0.939758,67.485897,13.667142,0.170805,0.220067
3.380000,82.307639,21.796907,0.939769,67.758818,13.624970,0.170804,0.220055
3.400000,82.743396,21.778778,0.939781,68.030895,13.582798,0.170804,0.220045
3.420000,83.178790,21.760649,0.939791,68.302130,13.540627,0.170803,0.220037
3.440000,83.613822,21.742520,0.939801,68.572520,13.498455,0.170802,0.220030
3.460000,84.048491,21.724391,0.939811,68.842068,13.456284,0.170802,0.220025
3.480000,84.482797,21.706262,0.939820,69.110772,13.414112,0.170802,0.220020
3.500000,84.916741,21.688133,0.939828,69.378632,13.371941,0.170801,0.220017
3.520000,85.350323,21.670005,0.939837,69.645649,13.329770,0.170801,0.220014
3.540000,85.783542,21.651876,0.939844,69.911823,13.287598,0.170801,0.220011
3.560000,86.216398,21.633747,0.939852,70.177153,13.245427,0.170801,0.220009
3.580000,86.648891,21.615618,0.939859,70.441640,13.203256,0.170801,0.220008
3.600000,87.081023,21.597489,0.939866,70.705284,13.161084,0.170800,0.220006
3.620000,87.512791,21.579360,0.939872,70.968084,13.118913,0.170800,0.220005
3.640000,87.944197,21.561231,0.939878,71.230040,13.076742,0.170800,0.220004
3.660000,88.375240,21.543102,0.939884,71.491153,13.034571,0.170800,0.220003
3.680000,88.805921,21.524974,0.939890,71.751423,12.992399,0.170800,0.220003
3.700000,89.236239,21.506845,0.939895,72.010849,12.950228,0.170800,0.220002
3.720000,89.666195,21.488716,0.939900,72.269432,12.908057,0.170800,0.220002
3.740000,90.095788,21.470587,0.939905,72.527172,12.865886,0.170800,0.220002
3.760000,90.525018,21.452458,0.939909,72.784068,12.823714,0.170800,0.220001
3.780000,90.953886,21.434329,0.939914,73.040120,12.781543,0.170800,0.220001
3.800000,91.382391,21.416200,0.939918,73.295329,12.739372,0.170800,0.220001
3.820000,91.810534,21.398071,0.939922,73.549695,12.697201,0.170800,0.220001
3.840000,92.238314,21.379943,0.939926,73.803217,12.655030,0.170800,0.220001
3.860000,92.665732,21.361814,0.939929,74.055896,12.612858,0.170800,0.220000
3.880000,93.092787,21.343685,0.939933,74.307732,12.570687,0.170800,0.220000
3.900000,93.519479,21.325556,0.939936,74.558724,12.528516,0.170800,0.220000
3.920000,93.945809,21.307427,0.939939,74.808872,12.486345,0.170800,0.220000
3.940000,94.371776,21.289298,0.939942,75.058177,12.444173,0.170800,0.220000
3.960000,94.797381,21.271169,0.939945,75.306639,12.402002,0.170800,0.220000
3.980000,95.222623,21.253040,0.939947,75.554258,12.359831,0.170800,0.220000
4.000000,95.647503,21.234911,0.939950,75.801032,12.317660,0.170800,0.220000
4.020000,96.072020,21.216783,0.939952,76.046964,12.275488,0.170800,0.220000
4.040000,96.496174,21.198654,0.939955,76.292052,12.233317,0.170800,0.220000
4.060000,96.919966,21.180525,0.939957,76.536297,12.191146,0.170800,0.220000
4.080000,97.343395,21.162396,0.939959,76.779698,12.148975,0.170800,0.220000
4.100000,97.766462,21.144267,0.939961,77.022256,12.106804,0.170800,0.220000
4.120000,98.189166,21.126138,0.939963,77.263970,12.064632,0.170800,0.220000
4.140000,98.611507,21.108009,0.939964,77.504841,12.022461,0.170800,0.220000
4.160000,99.033486,21.089880,0.939966,77.744868,11.980290,0.170800,0.220000
4.180000,99.455102,21.071752,0.939968,77.984052,11.938119,0.170800,0.220000
4.200000,99.876356,21.053623,0.939969,78.222393,11.895947,0.170800,0.220000
4.220000,100.297247,21.035494,0.939971,78.459890,11.853776,0.170800,0.220000
4.240000,100.717776,21.017365,0.939972,78.696544,11.811605,0.170800,0.220000
4.260000,101.137942,20.999236,0.939974,78.932355,11.769434,0.170800,0.220000
4.280000,101.557745,20.981107,0.939975,79.167322,11.727262,0.170800,0.220000
4.300000,101.977186,20.962978,0.939976,79.401445,11.685091,0.170800,0.220000
4.320000,102.396264,20.944849,0.939977,79.634725,11.642920,0.170800,0.220000
4.340000,102.814980,20.926721,0.939978,79.867162,11.600749,0.170800,0.220000
4.360000,103.233333,20.908592,0.939979,80.098755,11.558578,0.170800,0.220000
4.380000,103.651324,20.890463,0.939980,80.329505,11.516406,0.170800,0.220000
4.400000,104.068952,20.872334,0.939981,80.559411,11.474235,0.170800,0.220000
4.420000,104.486217,20.854205,0.939982,80.788474,11.432064,0.170800,0.220000
4.440000,104.903120,20.836076,0.939983,81.016694,11.389893,0.170800,0.220000
4.460000,105.319660,20.817947,0.939984,81.244070,11.347721,0.170800,0.220000
4.480000,105.735838,20.799818,0.939985,81.470603,11.305550,0.170800,0.220000
4.500000,106.151653,20.781689,0.939985,81.696292,11.263379,0.170800,0.220000
4.520000,106.567105,20.763561,0.939986,81.921138,11.221208,0.170800,0.220000
4.540000,106.982195,20.745432,0.939987,82.145140,11.179037,0.170800,0.220000
4.560000,107.396923,20.727303,0.939987,82.368299,11.136865,0.170800,0.220000
4.580000,107.811287,20.709174,0.939988,82.590615,11.094694,0.170800,0.220000
4.600000,108.225290,20.691045,0.939989,82.812087,11.052523,0.170800,0.220000
4.620000,108.638929,20.672916,0.939989,83.032716,11.010352,0.170800,0.220000
4.640000,109.052206,20.654787,0.939990,83.252501,10.968180,0.170800,0.220000
4.660000,109.465121,20.636658,0.939990,83.471443,10.926009,0.170800,0.220000
4.680000,109.877673,20.618530,0.939991,83.689542,10.883838,0.170800,0.220000
4.700000,110.289862,20.600401,0.939991,83.906797,10.841667,0.170800,0.220000
4.720000,110.701277,20.541070,0.939991,84.123208,10.799495,0.170800,0.220000
4.740000,111.111505,20.481739,0.939992,84.338776,10.757324,0.170800,0.220000
4.760000,111.520546,20.422408,0.939992,84.553501,10.715153,0.170800,0.220000
4.780000,111.928401,20.363077,0.939993,84.767383,10.672982,0.170800,0.220000
4.800000,112.335069,20.303746,0.939993,84.980421,10.630811,0.170800,0.220000
4.820000,112.740551,20.244415,0.939993,85.192615,10.588639,0.170800,0.220000
4.840000,113.144846,20.185085,0.939994,85.403966,10.546468,0.170800,0.220000
4.860000,113.547954,20.125754,0.939994,85.614474,10.504297,0.170800,0.220000
4.880000,113.949876,20.066423,0.939994,85.824138,10.462126,0.170800,0.220000
4.900000,114.350611,20.007092,0.939995,86.032959,10.419954,0.170800,0.220000
4.920000,114.750160,19.947761,0.939995,86.240936,10.377783,0.170800,0.220000
4.940000,115.148522,19.888430,0.939995,86.448070,10.335612,0.170800,0.220000
4.960000,115.545697,19.829099,0.939995,86.654361,10.293441,0.170800,0.220000
4.980000,115.941686,19.769768,0.939995,86.859808,10.251269,0.170800,0.220000
5.000000,116.336488,19.710437,0.939996,87.064411,10.209098,0.170800,0.220000
5.020000,116.730103,19.651107,0.939996,87.268172,10.166927,0.170800,0.220000
5.040000,117.122532,19.591776,0.939996,87.471088,10.124756,0.170800,0.220000
5.060000,117.513774,19.532445,0.939996,87.673162,10.082585,0.170800,0.220000
5.080000,117.903830,19.473114,0.939996,87.874392,10.040413,0.170800,0.220000
5.100000,118.292699,19.413783,0.939997,88.074778,9.998242,0.170800,0.220000
5.120000,118.680381,19.354452,0.939997,88.274322,9.956071,0.170800,0.220000
5.140000,119.066877,19.295121,0.939997,88.473021,9.913900,0.170800,0.220000
5.160000,119.452186,19.235790,0.939997,88.670878,9.871728,0.170800,0.220000
5.180000,119.836308,19.176460,0.939997,88.867890,9.829557,0.170800,0.220000
5.200000,120.219244,19.117129,0.939997,89.064060,9.787386,0.170800,0.220000
5.220000,120.600994,19.057798,0.939998,89.259386,9.745215,0.170800,0.220000
5.240000,120.981556,18.998467,0.939998,89.453868,9.703044,0.170800,0.220000
5.260000,121.360932,18.939136,0.939998,89.647508,9.660872,0.170800,0.220000
5.280000,121.739122,18.879805,0.939998,89.840303,9.618701,0.170800,0.220000
5.300000,122.116124,18.820474,0.939998,90.032256,9.576530,0.170800,0.220000
5.320000,122.491941,18.761143,0.939998,90.223365,9.534359,0.170800,0.220000
5.340000,122.866570,18.701813,0.939998,90.413630,9.492187,0.170800,0.220000
5.360000,123.240013,18.642482,0.939998,90.603052,9.450016,0.170800,0.220000
5.380000,123.612269,18.583151,0.939998,90.791631,9.407845,0.170800,0.220000
5.400000,123.983339,18.523820,0.939998,90.979366,9.365674,0.170800,0.220000
5.420000,124.353222,18.464489,0.939998,91.166258,9.323502,0.170800,0.220000
5.440000,124.721919,18.405158,0.939999,91.352306,9.281331,0.170800,0.220000
5.460000,125.089429,18.345827,0.939999,91.537511,9.239160,0.170800,0.220000
5.480000,125.455752,18.286496,0.939999,91.721872,9.196989,0.170800,0.220000
5.500000,125.820888,18.227165,0.939999,91.905390,9.154818,0.170800,0.220000
5.520000,126.184838,18.167835,0.939999,92.088065,9.112646,0.170800,0.220000
5.540000,126.547602,18.108504,0.939999,92.269896,9.070475,0.170800,0.220000
5.560000,126.909179,18.049173,0.939999,92.450884,9.028304,0.170800,0.220000
5.580000,127.269569,17.989842,0.939999,92.631028,8.986133,0.170800,0.220000
5.600000,127.628772,17.930511,0.939999,92.810329,8.943961,0.170800,0.220000
5.620000,127.986789,17.871180,0.939999,92.988787,8.901790,0.170800,0.220000
5.640000,128.343619,17.811849,0.939999,93.166401,8.859619,0.170800,0.220000
5.660000,128.699263,17.752518,0.939999,93.343172,8.817448,0.170800,0.220000
5.680000,129.053720,17.693188,0.939999,93.519099,8.775277,0.170800,0.220000
5.700000,129.406991,17.633857,0.939999,93.694183,8.733105,0.170800,0.220000
5.720000,129.759074,17.574526,0.939999,93.868423,8.690934,0.170800,0.220000
5.740000,130.109972,17.515195,0.939999,94.041820,8.648763,0.170800,0.220000
5.760000,130.459682,17.455864,0.939999,94.214374,8.606592,0.170800,0.220000
5.780000,130.808206,17.396533,0.939999,94.386084,8.564420,0.170800,0.220000
5.800000,131.155544,17.337202,0.939999,94.556950,8.522249,0.170800,0.220000
5.820000,131.501694,17.277871,0.939999,94.726974,8.480078,0.170800,0.220000
5.840000,131.846658,17.218541,0.939999,94.896153,8.437907,0.170800,0.220000
5.860000,132.190436,17.159210,0.939999,95.064490,8.395735,0.170800,0.220000
5.880000,132.533027,17.099879,0.940000,95.231983,8.353564,0.170800,0.220000
5.900000,132.874431,17.040548,0.940000,95.398632,8.311393,0.170800,0.220000
5.920000,133.214649,16.981217,0.940000,95.564439,8.269222,0.170800,0.220000
5.940000,133.553680,16.921886,0.940000,95.729401,8.227051,0.170800,0.220000
5.960000,133.891524,16.862555,0.940000,95.893521,8.184879,0.170800,0.220000
5.980000,134.228182,16.803224,0.940000,96.056797,8.142708,0.170800,0.220000
